,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value,Goals Against,Shots on Target Against,Saves,Save%,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,PSxG,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Throws Attempted,Launch%,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
6075,Virgil Misidjan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6076,Virgil van Dijk,0.06,0.06,0.06,0.00,0.00,0.06,0.00,0.07,0.07,0.01,0.08,1.00,0.17,16.7%,0.06,0.33,13.80,0.06,0.07,-0.02,-0.02,67.72,73.22,92.5%,1522.06,489.06,18.22,18.89,96.5%,36.11,37.11,97.3%,12.83,16.56,77.5%,0.17,4.72,0.11,0.00,3.00,70.44,2.78,2.56,0.00,4.56,3.00,0.00,0.00,0.00,0.00,0.00,59.28,4.67,9.28,12.17,55.83,2.94,0.22,0.11,0.00,0.67,0.33,0.44,0.61,0.44,0.00,0.00,0.17,0.00,0.00,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.72,0.50,0.28,0.44,0.00,0.33,0.39,85.7%,0.06,2.94,0.89,30.2%,1.39,1.39,0.17,1.11,0.67,0.00,1.22,1.94,4.83,0.00,82.39,9.72,39.89,44.39,2.33,1.17,79.61,0.06,0.11,50.0%,0.06,0.00,52.56,216.44,118.89,3.39,0.39,0.00,0.17,0.06,60.61,59.56,98.3%,0.17,0.00,0.22,0.33,0.00,0.00,0.00,0.00,10.72,3.78,1.44,72.3%,€55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6077,Virgile Pinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€275Th. Last update: Dec 8, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6078,Virgiliu Postolachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€150Th. Last update: Oct 13, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6079,Vital N'Simba,0.07,0.14,0.07,0.00,0.00,0.07,0.00,0.03,0.03,0.11,0.14,0.81,0.20,25.0%,0.08,0.33,24.60,0.00,0.04,+0.03,+0.03,46.97,59.59,78.8%,794.05,371.95,23.35,26.67,87.5%,19.62,24.03,81.6%,3.39,7.06,48.1%,0.88,2.58,1.22,0.48,4.95,49.48,10.11,0.95,0.07,7.60,1.43,2.31,0.20,0.00,0.20,0.00,37.26,12.96,9.37,44.93,4.55,1.02,8.96,0.00,0.00,0.75,2.65,1.36,1.83,1.36,0.34,0.00,0.00,0.14,0.00,0.27,0.20,0.00,0.00,0.00,0.07,0.00,2.71,2.24,1.70,0.75,0.27,1.09,1.70,64.0%,0.61,11.47,4.55,39.6%,5.70,3.87,1.90,1.36,0.00,0.00,2.44,5.16,0.81,0.07,70.05,2.10,24.10,33.26,18.05,0.95,60.41,1.63,2.51,64.9%,1.76,0.14,46.70,234.71,132.08,4.89,1.70,0.00,0.88,1.97,46.22,43.17,93.4%,2.38,0.00,0.75,1.63,0.00,0.00,0.00,0.00,8.89,0.41,0.81,33.3%,€1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6080,Vitalie DamaÈcan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€600Th. Last update: May 19, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6081,Vitaly Janelt,0.10,0.00,0.10,0.00,0.00,0.10,0.00,0.10,0.10,0.09,0.19,0.69,0.39,57.1%,0.14,0.25,17.00,0.00,0.15,0.00,0.00,27.15,36.00,75.4%,500.56,150.20,11.61,13.77,84.3%,11.51,14.26,80.7%,3.15,6.59,47.8%,0.98,2.75,0.79,0.20,3.54,33.05,2.95,1.77,0.00,4.33,1.18,1.08,0.69,0.39,0.20,0.10,23.70,4.23,8.07,27.64,5.31,1.77,0.20,0.30,0.00,0.69,0.98,1.97,2.16,1.57,0.20,0.10,0.10,0.10,0.10,0.20,0.20,0.00,0.00,0.00,0.00,0.00,2.95,1.97,1.18,1.38,0.39,0.98,2.16,45.5%,1.18,17.90,5.51,30.8%,4.72,9.05,4.13,2.36,0.39,0.00,1.77,4.72,1.08,0.00,46.72,2.56,14.07,24.00,10.82,1.08,43.77,0.30,0.39,75.0%,0.39,0.10,24.30,109.18,47.02,1.87,0.39,0.20,1.18,0.59,32.36,26.46,81.8%,1.67,0.00,1.77,1.38,0.10,0.00,0.00,0.00,8.16,0.89,1.08,45.0%,€10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6082,Vitinha,0.00,0.13,0.00,0.00,0.00,0.26,0.00,0.10,0.10,0.09,0.19,1.67,0.64,38.5%,0.00,0.00,21.60,0.00,0.06,-0.10,-0.10,48.33,55.90,86.5%,853.97,156.28,22.31,24.36,91.6%,20.00,21.41,93.4%,5.26,8.33,63.1%,1.41,4.49,0.51,0.00,2.69,52.56,3.33,1.28,0.13,11.15,1.79,0.64,2.05,0.77,0.90,0.13,42.05,6.54,7.31,2.44,51.54,1.79,0.00,0.00,0.26,0.26,1.03,0.64,2.56,2.05,0.26,0.13,0.13,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.00,1.67,1.15,0.77,0.77,0.13,0.13,1.92,6.7%,1.79,20.64,7.18,34.8%,4.87,12.31,3.46,0.77,0.13,0.00,1.54,3.21,0.77,0.00,65.90,1.03,9.23,38.46,22.69,1.79,62.56,1.28,1.67,76.9%,1.41,0.13,46.79,253.59,134.74,6.54,1.79,0.38,1.54,1.79,56.67,49.62,87.6%,3.46,0.00,1.79,1.28,0.13,0.00,0.00,0.00,6.92,0.38,0.77,33.3%,€7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6083,Vitja ValenÄiÄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€150Th. Last update: Jun 8, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6084,Vito Mannone,,,,,0.20,,,,,,,,,,,,,,,,,,21.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€800Th. Last update: Jun 4, 2021",1.80,3.40,1.80,52.9%,0.40,0.20,0.40,0.20,20.0%,0.20,0.00,0.00,0.0%,0.00,0.20,0.00,1.32,0.33,-0.48,7.20,17.20,41.9%,2.00,48.6%,39.2,8.20,80.5%,56.6,8.00,0.60,7.5%,0.20,15.3
6085,Vito Radicchio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6086,Vitolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6087,Vitor Hugo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6088,Vitorino Antunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6089,Vitorino Hilton,0.00,0.05,0.00,0.00,0.00,0.16,0.00,0.06,0.06,0.01,0.07,0.54,0.16,30.0%,0.00,0.00,7.50,0.00,0.11,-0.06,-0.06,36.84,44.03,83.7%,972.39,353.57,5.67,6.43,88.2%,18.21,19.50,93.4%,12.97,17.56,73.8%,0.05,1.78,0.11,0.00,2.00,41.60,2.43,2.00,0.00,3.19,2.00,0.11,0.00,0.00,0.00,0.00,28.58,5.08,10.37,9.02,31.93,1.84,0.43,0.11,0.11,0.70,0.70,0.86,0.38,0.16,0.11,0.00,0.11,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.81,0.32,0.59,0.16,0.05,0.32,1.03,31.6%,0.70,6.59,1.84,27.9%,4.38,2.05,0.16,1.84,0.97,0.11,1.84,2.65,7.35,0.11,56.24,9.08,35.98,22.42,1.40,0.86,53.86,0.05,0.11,50.0%,0.05,0.00,29.12,166.87,93.51,1.30,0.05,0.00,0.05,0.05,33.33,32.58,97.7%,0.05,0.00,0.76,0.54,0.00,0.00,0.05,0.00,8.27,2.43,1.46,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6090,Vittorio Agostinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€75Th. Last update: Jun 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6091,Vittorio Parigini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€700Th. Last update: Jun 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6092,Vlad ChiricheÈ,0.04,0.00,0.04,0.00,0.00,0.28,0.00,0.02,0.02,0.02,0.05,0.37,0.08,22.2%,0.11,0.50,10.50,0.00,0.07,+0.02,+0.02,64.58,68.81,93.9%,1303.80,356.26,21.64,22.53,96.0%,32.70,34.20,95.6%,9.48,10.90,86.9%,0.24,2.85,0.12,0.00,1.95,66.41,2.40,2.16,0.04,6.43,1.67,0.12,0.00,0.00,0.00,0.00,60.27,3.99,4.55,4.80,60.80,1.87,0.20,0.28,0.08,0.33,0.73,0.73,0.61,0.57,0.00,0.04,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,1.87,0.94,1.55,0.28,0.04,0.53,1.06,50.0%,0.53,10.86,3.17,29.2%,6.22,4.31,0.33,1.67,0.94,0.00,2.03,3.90,3.54,0.04,78.73,10.53,36.44,44.98,3.25,0.65,76.46,0.33,0.61,53.3%,0.37,0.00,55.63,271.14,157.14,3.50,0.85,0.00,0.45,0.65,59.54,58.48,98.2%,0.20,0.00,1.46,0.73,0.08,0.00,0.04,0.00,7.93,2.16,2.40,47.3%,€3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6093,VladimÃ­r Coufal,0.00,0.24,0.00,0.00,0.00,0.05,0.00,0.04,0.04,0.15,0.19,0.56,0.19,33.3%,0.00,0.00,16.90,0.00,0.07,-0.04,-0.04,37.73,53.18,71.0%,646.65,321.92,17.74,20.36,87.1%,15.79,21.06,75.0%,3.53,9.33,37.8%,1.31,2.49,1.20,0.69,3.74,42.03,11.14,1.04,0.03,6.04,0.94,3.31,0.08,0.08,0.00,0.00,24.50,11.73,16.94,5.85,33.22,3.10,10.02,0.19,0.27,1.04,1.66,1.87,2.30,1.63,0.45,0.03,0.08,0.05,0.05,0.27,0.27,0.00,0.00,0.00,0.00,0.00,1.95,0.94,1.28,0.56,0.11,1.02,2.08,48.7%,1.07,13.31,3.79,28.5%,7.00,4.36,1.95,2.03,0.16,0.00,1.12,3.07,3.42,0.03,63.41,4.70,19.13,26.59,20.98,1.55,52.62,0.59,0.86,68.8%,0.59,0.03,31.88,168.46,80.70,3.29,1.15,0.29,0.72,0.45,37.01,33.19,89.7%,1.84,0.00,1.04,1.12,0.00,0.00,0.00,0.00,9.94,1.44,1.36,51.4%,€12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6094,VladimÃ­r Darida,0.06,0.39,0.06,0.00,0.00,0.44,0.06,0.08,0.08,0.33,0.40,1.33,0.39,29.2%,0.04,0.14,22.70,0.06,0.06,-0.02,-0.02,33.98,46.35,73.3%,696.52,182.38,13.54,16.41,82.5%,12.60,15.58,80.9%,7.18,11.88,60.5%,2.27,2.65,1.27,0.28,3.65,41.93,4.42,1.77,0.28,7.51,1.99,1.88,1.55,0.50,0.50,0.22,26.80,7.68,11.88,10.33,32.32,1.60,0.77,0.44,0.39,1.05,1.05,1.27,3.20,2.38,0.61,0.11,0.06,0.06,0.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00,1.55,0.99,0.77,0.50,0.28,0.55,1.60,34.5%,1.05,17.46,5.25,30.1%,3.98,9.23,4.25,1.27,0.00,0.00,1.66,3.20,1.05,0.00,57.40,0.99,9.67,29.61,21.22,2.04,53.04,0.94,1.38,68.0%,0.94,0.11,36.35,178.95,76.41,4.03,1.49,0.22,1.27,1.55,48.34,36.96,76.5%,5.64,0.00,1.66,1.60,0.22,0.00,0.00,0.00,9.28,0.99,2.10,32.1%,€3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6095,Vladimir GolemiÄ,0.09,0.00,0.05,0.05,0.05,0.19,0.05,0.06,0.02,0.01,0.03,0.19,0.09,50.0%,0.25,0.50,9.80,0.00,0.10,+0.04,+0.03,39.20,45.51,86.1%,825.40,280.99,10.67,11.78,90.6%,21.62,23.52,91.9%,6.22,9.28,67.0%,0.19,0.97,0.09,0.00,1.35,42.63,2.88,2.60,0.00,5.43,0.74,0.05,0.00,0.00,0.00,0.00,33.77,4.45,7.28,6.91,35.30,1.95,0.28,0.14,0.14,1.07,0.46,1.11,0.42,0.37,0.05,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0.00,1.44,0.74,0.97,0.28,0.19,0.42,0.79,52.9%,0.37,12.06,4.13,34.2%,7.28,4.31,0.46,2.13,1.02,0.00,1.21,2.64,5.29,0.05,55.67,10.53,36.32,20.69,1.39,0.46,52.93,0.14,0.14,100.0%,0.14,0.00,30.85,145.35,65.88,0.79,0.09,0.00,0.09,0.14,34.84,34.10,97.9%,0.09,0.00,1.35,0.37,0.00,0.00,0.09,0.00,7.61,2.13,1.81,54.1%,"€700Th. Last update: Nov 1, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6096,Vladislav Cherny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€100Th. Last update: Jun 9, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6097,Vladlen Yurchenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6098,Vlatko Stojanovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€400Th. Last update: May 27, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6099,Vontae Daley Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€200Th. Last update: Mar 18, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6100,VukaÅ¡in JovanoviÄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6101,Wahbi Khazri,0.52,0.04,0.32,0.20,0.20,0.24,0.00,0.36,0.21,0.13,0.34,2.41,0.84,35.0%,0.13,0.38,23.40,0.28,0.09,+0.16,+0.11,17.92,26.14,68.6%,329.37,90.68,8.90,10.98,81.0%,5.65,7.78,72.7%,2.53,5.21,48.5%,1.60,1.84,1.00,0.08,2.49,22.89,3.25,0.76,0.16,6.25,1.64,1.40,0.52,0.24,0.16,0.04,15.92,4.45,5.77,2.16,22.05,0.64,0.68,0.32,0.12,1.00,1.60,0.76,2.61,1.80,0.24,0.16,0.08,0.24,0.08,0.12,0.00,0.00,0.00,0.00,0.08,0.04,1.44,0.80,0.48,0.60,0.36,0.40,1.48,27.0%,1.08,15.96,4.85,30.4%,1.84,6.74,7.38,0.80,0.04,0.00,0.72,2.16,0.56,0.00,40.77,0.88,4.57,21.49,18.48,3.69,37.44,1.88,3.81,49.5%,2.08,0.04,28.14,150.94,89.36,4.45,1.64,0.64,2.69,2.37,43.18,27.54,63.8%,5.37,0.00,1.20,2.33,0.88,0.08,0.00,0.00,5.61,0.44,1.84,19.3%,€4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6102,Wahidullah Faghir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6103,Wajdi Kechrida,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.12,0.80,0.13,16.7%,0.00,0.00,19.80,0.00,0.04,-0.04,-0.04,24.76,34.62,71.5%,414.45,226.20,12.12,13.58,89.2%,9.85,12.91,76.3%,2.00,5.72,34.9%,1.20,2.26,1.33,0.67,4.26,29.56,5.06,0.13,0.00,3.73,0.67,2.53,0.93,0.13,0.80,0.00,19.70,6.39,8.52,1.46,28.62,0.13,3.99,0.13,0.13,0.67,1.07,1.86,1.86,1.46,0.27,0.00,0.13,0.00,0.00,0.13,0.00,0.00,0.00,0.13,0.00,0.00,1.33,1.07,0.80,0.53,0.00,0.67,0.93,71.4%,0.27,10.78,3.59,33.3%,5.72,2.53,2.53,2.13,0.27,0.00,0.80,2.13,1.86,0.00,43.67,2.53,11.45,18.37,17.31,2.26,38.61,0.27,0.40,66.7%,0.27,0.00,26.89,148.85,88.93,4.26,2.13,0.67,1.20,0.80,28.76,24.23,84.3%,1.46,0.00,0.80,0.00,0.13,0.00,0.00,0.00,6.52,0.40,1.07,27.3%,€1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6104,Wakaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6105,Walace,0.00,0.00,0.00,0.00,0.00,0.22,0.03,0.04,0.04,0.05,0.08,1.05,0.19,18.4%,0.00,0.00,24.00,0.00,0.04,-0.04,-0.04,45.37,52.27,86.8%,889.26,199.43,16.92,18.71,90.4%,20.20,22.08,91.5%,7.26,9.52,76.2%,0.63,4.06,0.55,0.11,3.28,50.20,2.07,1.71,0.06,7.87,1.90,0.22,0.03,0.00,0.00,0.03,40.93,5.22,6.13,6.26,43.28,1.79,0.28,0.30,0.17,0.77,1.41,1.57,1.44,1.08,0.03,0.03,0.22,0.03,0.06,0.11,0.06,0.00,0.00,0.03,0.00,0.03,2.62,1.96,1.30,1.08,0.25,1.05,3.34,31.4%,2.29,18.85,6.21,32.9%,8.83,8.17,1.85,1.77,0.19,0.00,2.10,4.72,1.13,0.06,63.04,3.20,19.18,37.56,10.52,0.55,61.19,1.02,1.52,67.3%,1.16,0.06,42.81,208.92,99.33,3.09,0.91,0.03,0.88,0.97,44.05,41.48,94.2%,0.77,0.00,1.52,1.24,0.03,0.00,0.03,0.00,10.54,0.63,0.66,48.9%,€5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6106,Waldemar Anton,0.00,0.06,0.00,0.00,0.00,0.14,0.03,0.04,0.04,0.03,0.07,0.43,0.11,26.7%,0.00,0.00,13.80,0.00,0.10,-0.04,-0.04,61.94,69.93,88.6%,1301.41,443.62,17.58,18.95,92.7%,34.78,36.96,94.1%,9.05,13.01,69.5%,0.29,2.50,0.29,0.06,2.90,66.94,2.99,1.78,0.09,6.72,1.01,0.32,0.00,0.00,0.00,0.00,56.46,5.26,8.21,11.49,53.96,1.87,1.15,0.23,0.20,0.98,0.98,0.98,1.03,0.80,0.03,0.00,0.03,0.06,0.11,0.20,0.17,0.00,0.00,0.00,0.03,0.00,1.29,0.86,0.80,0.40,0.09,0.43,1.12,38.5%,0.69,9.07,3.45,38.0%,5.14,3.36,0.57,1.58,0.60,0.03,1.92,3.22,5.31,0.00,81.61,15.28,48.02,35.84,3.22,1.03,78.77,0.32,0.60,52.4%,0.46,0.03,53.82,333.32,171.38,3.47,0.49,0.03,0.49,0.60,57.49,56.69,98.6%,0.34,0.00,0.86,0.75,0.03,0.00,0.00,0.00,10.68,2.41,1.75,57.9%,€9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6107,Waldo Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6108,Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6109,Walter BenÃ­tez,,,,,0.14,,,,,,,,,,,,,,,,,,20.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€10.00,1.23,4.00,2.91,72.7%,0.42,0.19,0.40,0.26,25.6%,0.14,0.00,0.00,0.0%,0.00,0.21,0.00,1.20,0.27,-0.03,3.81,9.70,39.3%,4.30,29.5%,31.4,7.23,48.9%,40.9,8.37,0.42,5.0%,0.53,14.3
6110,Walter Montoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
