,Age,Foward,Midfielder,Defender,Goals,Assists,npxG+xA,Passes Completed,Key Passes,Passes into Final Third,Live-ball passes,Through Balls,Ground passes,Shot-Creating Actions,Goal-Creating Actions,Tackles Won,Dribblers Tackled,% of dribblers tackled,Successful Pressures,Successful Pressure %,Blocks,Dribbles Completed,Progressive Carries,Dispossessed,Ball Recoveries,Market value
284,29,0,0,1,0.05,0.0,0.02,34.33,0.18,3.31,36.35,0.0,25.63,0.87,0.05,1.7,1.06,0.426,6.4,0.355,2.58,0.46,2.39,0.74,8.65,2.0
285,28,0,0,1,0.0,0.07,0.08,32.51,0.6,2.57,36.49,0.03,19.7,1.17,0.1,0.83,0.87,0.473,2.6,0.307,3.1,1.0,3.91,0.7,9.21,4.0
286,25,1,0,0,0.31,0.1,0.45,13.88,1.08,0.84,19.85,0.24,12.98,2.3,0.21,0.56,0.17,0.278,4.36,0.285,1.22,0.7,1.99,1.74,4.71,20.0
287,21,0,1,0,0.06,0.12,0.14,45.53,0.97,5.02,51.78,0.21,42.5,2.41,0.26,2.0,0.68,0.33299999999999996,5.46,0.34299999999999997,1.09,0.7,5.87,0.68,10.1,6.0
288,21,1,0,0,0.32,0.0,0.72,14.51,0.21,0.21,17.03,0.11,12.41,1.47,0.42,1.26,0.53,0.33299999999999996,4.0,0.245,0.21,0.63,3.05,1.47,3.79,5.0
289,33,0,0,1,0.0,0.05,0.05,33.11,0.27,2.0,37.37,0.0,28.31,0.65,0.05,1.46,1.19,0.46799999999999997,4.37,0.314,1.83,0.75,3.77,0.92,9.33,1.2
290,21,0,0,1,0.0,0.1,0.06,57.02,0.25,4.0,63.26,0.05,50.87,0.8,0.25,1.15,0.65,0.542,5.4,0.44799999999999995,2.0,0.2,2.65,0.35,11.29,7.5
291,32,0,0,1,0.0,0.06,0.05,46.59,0.12,1.74,48.8,0.0,41.08,0.3,0.06,0.66,0.24,0.308,3.17,0.35600000000000004,1.74,0.18,1.5,0.18,7.43,12.0
292,30,1,0,0,0.39,0.09,0.42,14.06,0.75,0.87,20.76,0.03,9.69,1.74,0.27,0.39,0.21,0.389,3.53,0.28300000000000003,1.08,0.48,1.14,1.56,3.59,8.0
293,31,1,0,0,0.41,0.07,0.45,17.48,0.72,1.0,25.45,0.07,11.86,1.72,0.21,0.31,0.03,0.091,2.45,0.233,0.76,0.72,1.97,1.1,3.86,9.0
294,27,1,0,0,0.15,0.15,0.33,16.02,1.35,0.9,23.81,0.0,12.88,1.95,0.15,0.75,0.3,0.2,5.24,0.271,1.2,0.45,2.25,1.2,8.54,0.8
295,32,0,1,0,0.0,0.0,0.03,47.82,0.29,1.72,53.45,0.0,43.04,0.76,0.0,2.1,0.86,0.391,6.3,0.327,1.05,0.57,2.2,0.29,10.69,0.5
296,28,0,0,1,0.08,0.16,0.23,36.03,2.26,2.63,36.97,0.03,23.42,3.37,0.37,0.61,0.61,0.365,2.53,0.24100000000000002,1.29,0.47,4.05,0.66,5.55,12.0
297,27,0,1,0,0.07,0.07,0.2,38.02,0.62,4.92,45.82,0.07,31.87,1.16,0.07,3.01,1.57,0.575,6.5,0.32899999999999996,1.71,0.34,2.67,0.75,12.52,6.0
298,25,0,1,0,0.0,0.47,0.05,36.22,0.63,3.8,41.6,0.0,32.43,1.42,0.79,0.95,0.32,0.182,3.64,0.204,1.58,0.79,3.8,0.79,9.65,3.0
299,23,1,0,0,0.26,0.22,0.53,29.96,1.73,1.64,35.74,0.04,28.88,3.45,0.47,0.69,0.22,0.263,5.48,0.312,1.38,2.5,8.29,2.63,6.09,50.0
300,22,0,1,0,0.34,0.04,0.43,28.05,1.24,2.74,35.19,0.04,24.14,2.97,0.23,1.24,0.49,0.23600000000000002,6.05,0.314,1.62,1.47,5.49,1.8,7.56,22.0
301,30,0,1,0,0.0,0.11,0.08,47.7,0.54,3.48,54.45,0.11,41.44,1.28,0.11,1.82,1.02,0.284,6.85,0.345,1.39,0.96,4.12,0.7,11.3,5.0
302,27,0,0,1,0.0,0.11,0.11,40.29,0.91,3.1,44.36,0.16,29.27,2.14,0.16,1.44,1.18,0.39299999999999996,5.3,0.32899999999999996,1.44,0.48,4.07,0.8,10.11,5.0
303,24,0,1,0,0.48,0.28,0.7,33.99,2.47,1.84,38.73,0.17,30.1,4.94,0.79,0.82,0.34,0.33299999999999996,5.96,0.305,1.36,1.9,6.21,2.1,6.19,47.0
304,34,0,0,1,0.07,0.18,0.2,35.88,1.97,1.75,36.67,0.04,21.78,2.86,0.32,1.04,0.93,0.441,3.76,0.299,1.79,0.36,3.36,0.72,9.12,1.2
305,32,0,0,1,0.03,0.03,0.05,27.63,0.21,1.48,32.87,0.07,23.36,0.34,0.03,0.9,0.38,0.478,2.41,0.335,1.93,0.31,1.14,0.03,7.72,3.0
306,31,1,0,0,0.68,0.16,0.62,20.54,1.21,0.8,25.62,0.23,19.61,3.09,0.5,0.25,0.11,0.179,3.98,0.259,0.48,0.91,3.44,1.59,3.87,38.0
307,37,0,0,1,0.07,0.0,0.03,48.09,0.22,5.01,54.94,0.07,35.06,0.52,0.0,0.66,1.03,0.667,4.27,0.4,1.62,0.29,3.54,0.22,8.62,0.3
308,30,0,1,0,0.37,0.28,0.43,58.67,2.41,5.75,67.29,0.19,53.48,3.89,0.56,0.56,0.19,0.08,3.71,0.22,0.65,0.83,5.84,1.2,8.25,3.0
309,26,0,0,1,0.03,0.0,0.08,78.35,0.24,8.32,82.72,0.03,72.87,0.83,0.1,0.8,0.38,0.423,4.65,0.3720000000000001,1.32,0.38,7.7,0.17,8.67,18.0
310,24,0,0,1,0.0,0.43,0.29,40.88,1.41,2.17,42.72,0.0,30.14,2.17,0.43,1.08,0.98,0.818,2.06,0.20199999999999999,2.39,0.43,4.34,0.65,6.72,2.5
311,34,0,0,1,0.0,0.0,0.08,39.1,0.48,1.93,41.27,0.0,27.79,1.08,0.0,1.08,1.08,0.375,3.49,0.23800000000000002,1.44,0.6,3.37,0.24,7.94,0.8
